Artwork,Last Name,First Name,Location,Medium,Project Status,Description,Page Link,Latitude,Longitude,Mapped Location
Aileron,Dillon,Michael,McCabe Park Community Center,"Forged iron, bronze",Complete,A kinetic bronze sculpture sitting on three legs with two wings on top which spin 360 degrees with the wind. ,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Aileron.aspx,36.140969,-86.842667,"(36.140969, -86.842667)"
Air Wave,Hendrix,Suzy,"Madison Police Precinct, 400 Myatt Dr., Madison, 37115",,Complete,"For this design, a pair of functional air pumps flank an oscillating air wave. Air Wave is as practical as it is conceptual. In homage to all the good musical vibrations created by Nashville, sounds waves flow out from the flanking air pumps.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/Air-Wave.aspx,36.272295,-86.689705,"(36.272295, -86.689705)"
Banjo,Howse,Ric,Fulton Complex,"Mild steel, powder coat",Complete,"This rack reflects the rich musical history, tradition, and culture of the Nashville area.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/Banjo.aspx,36.153346,-86.768642,"(36.153346, -86.768642)"
Bicycle Copse,Doak,Alice,401 Commerce Street,Stainless Steel,Complete,"This rack represents a copse of trees found in nature, offering visual and spacial shelter in a bare sidewalk-scape.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/Bicycle-Copse.aspx,36.161906,-86.779003,"(36.161906, -86.779003)"
Capital,Tidwell,Luke,Nashville Farmers' Market,Stainless Steel,Complete,"The three circumscribed circles with stars represent the state flag of Tennessee. This design for this rack was influenced by Nashville's growing civic identity as a town of health and environmentally conscious citizens, represented by the circles made of bike chains and the location beside the Farmers' Market.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/Capital.aspx,36.170499,-86.788966,"(36.170499, -86.788966)"
City Irises,Eichman,Jessica,"Hermitage Park, 3720 James Kay Lane, Hermitage, 37076 ",,Complete,City Irises uses a playful and colorful design to showcase Tennessee’s state flower.,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/City-Irises.aspx,36.177653,-86.615069,"(36.177653, -86.615069)"
Corn and Tomato,Easter and Goostree,Page and Dan,Nashville Farmers' Market,"Mild steel and steel pope, acrylic steel curved bar",Complete,"Located by the Farmers' Market, this bike rack represents the fresh and local fruits and vegetables that can be found at the market. ",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/Corn-and-Tomato.aspx,36.170885,-86.788364,"(36.170885, -86.788364)"
Emerge,Young,Matt,Church Street Park,Polished concrete base with stainless steel curved bar,Complete,Emerge is a bike rack of two padlocks coming up from the ground. They are placed across the street from the Nashville Public Library. Emergewas selected by Americans for the Arts 2011 Public Art Network Year in Review.,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/Emerge.aspx,36.16245,-86.781914,"(36.16245, -86.781914)"
Lotus,Allison,Michael,"Fannie Mae Dees Park, 2400 Blakemore Ave., 37212",,Complete,"This bike rack utilizes recycled bike frames to compose the colorful organic design. “My goal in designing this rack was to make a visually and artistically interesting piece of art, while also keeping the design practical and useful. I want the rack to clearly communicate it is available to the public for the purpose of locking bicycles. I also wanted to create something that reminds the public that biking is a great healthy, environmentally-friendly way to commute and explore our city. In addition, I like the idea that the materials for this rack are sourced locally. Tied into this idea of using local materials is the concept of sustainability, which is always an undercurrent in my work. I mainly work with recycled metal and glass.  Most of the art I create is functional and many of my large metal and glass pieces serve as light fixtures.” I am passionate about public art because they allow art to reach more people than just those who can afford to purchase professional art. Public art allows people to interact with art on a daily basis instead of just in museums.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/Lotus.aspx,36.137488,-86.805803,"(36.137488, -86.805803)"
Lyrical Riders,Novak,Anthony,"Coleman Park Community Center, 384 Thompson Ln., 37211",,Complete,"In this design, bicycle and rider are synthesized into one unified, lyrical design. “I love bike and I love Nashville – except for the traffic, which is why I want to do my part as a professional artist to encourage fellow cyclists to ride instead of drive.”",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/Lyrical-Rider.aspx,36.111846,-86.74484,"(36.111846, -86.74484)"
Microphone,Harmon and Hill and Lee,Keith and Mac and Franne,Buddy Killen Circle (Demonbruen Roundabout),"Steel and stainless steel, powder coat",Complete,"At the roundabout by Music Row, this rack highlights the musical tradition of Nashville.Microphone was selected by Americans for the Arts 2011 Public Art Network Year in Review.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/Microphone.aspx,36.152392,-86.79135,"(36.152392, -86.79135)"
On Air,Griffith and Pellerin,Samantha and Jen,"Morgan Park, 411 Hume St., 37208",,Complete,This rack is an abstracted radio tower inspired by the history of live radio shows and music in Nashville. This artwork stands approximately 12 feet high with its circles of radio waves and lightning bolts crowning the top of the tower.,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/On-Air.aspx,36.180458,-86.790428,"(36.180458, -86.790428)"
